Designator,Mid X,Mid Y,Rotation,Layer
C1,75.41,-113.02,90.0,top
C11,73.9,-114.8,90.0,top
C111,64.535,-112.915,180.0,bottom
C12,71.6,-98.86,325.0,bottom
C13,76.08,-102.74,300.0,bottom
C14,75.13,-114.69,90.0,bottom
C16,60.84,-107.6675,0.0,bottom
C17,72.0225,-115.1525,0.0,bottom
C18,54.53,-98.79,215.0,bottom
C19,50.26,-102.59,235.0,bottom
C2,67.4,-101.3,0.0,bottom
C32,59.25,-105.5,90.0,bottom
C33,58.965,-117.42,90.0,bottom
C34,67.06,-117.54,90.0,bottom
C35,69.475,-120.625,180.0,bottom
C36,71.925,-123.35,145.0,top
C37,55.15,-104.25,180.0,bottom
C38,66.5,-120.45,180.0,bottom
C39,58.45,-108.075,90.0,bottom
C40,52.225,-103.95,180.0,bottom
C41,62.985,-117.515,90.0,bottom
C43,62.235,-117.515,90.0,bottom
C45,59.415,-116.015,180.0,bottom
C46,54.5,-124.13,145.0,bottom
C47,49.95,-120.65,125.0,bottom
C48,57.225,-109.0,90.0,bottom
C49,71.0,-102.345,90.0,bottom
C5,72.26,-113.48,180.0,top
C50,71.9,-107.13,90.0,bottom
C51,71.46,-105.72,180.0,bottom
C52,69.64,-107.18,90.0,bottom
C53,72.0225,-114.2125,0.0,bottom
C54,75.61,-110.95,270.0,bottom
C55,73.7225,-114.2125,180.0,bottom
C56,69.66,-107.18,90.0,top
C57,75.91,-119.8,55.0,bottom
C58,72.175,-124.525,35.0,bottom
C59,69.48,-112.22,270.0,top
C60,69.6125,-114.7025,90.0,bottom
C61,62.5,-107.325,270.0,bottom
C62,63.4,-107.35,270.0,bottom
C63,67.85,-99.92,90.0,bottom
C64,67.425,-105.2,0.0,bottom
C65,71.01,-100.515,90.0,bottom
C67,55.885,-107.895,90.0,top
C68,55.085,-107.895,90.0,top
C7,74.03,-113.48,0.0,top
C70,59.835,-104.725,90.0,top
C71,55.485,-104.715,180.0,top
C72,67.69,-110.04,0.0,top
C73,67.685,-110.865,180.0,top
C74,67.685,-111.715,0.0,bottom
C75,61.36,-116.995,270.0,top
C76,61.335,-104.715,90.0,top
C77,55.085,-106.065,270.0,top
C78,67.685,-111.715,0.0,top
C79,55.435,-109.415,180.0,top
C8,75.61,-110.95,270.0,top
C80,62.96,-117.04,270.0,top
C81,59.36,-117.015,270.0,top
C82,65.385,-104.785,90.0,top
C83,67.3,-113.05,90.0,top
C84,62.06,-104.715,90.0,top
C85,56.735,-104.865,90.0,top
C86,68.225,-113.05,90.0,top
C87,67.775,-118.575,0.0,top
C9,69.43,-109.86,90.0,top
D1,44.3125,-112.9,0.0,top
D21,58.05,-104.85,0.0,bottom
D3,58.2,-109.625,270.0,bottom
D4,44.175,-116.1,0.0,top
D5,44.25,-111.4,0.0,top
D6,44.2125,-109.95,0.0,top
D7,44.3,-114.45,0.0,top
D8,54.225,-116.675,0.0,top
FL1,71.2725,-107.3225,135.0,top
FL2,70.07,-105.43,90.0,bottom
J1,58.6,-99.45,90.0,top
J10,71.36,-117.63,270.0,top
J11,69.86,-117.63,270.0,top
J12,72.42,-115.12,0.0,top
J13,56.75,-99.2,0.0,top
J14,56.75,-100.7,0.0,top
J15,56.75,-102.2,0.0,top
J16,69.4,-99.2,0.0,top
J17,69.4,-100.7,0.0,top
J18,69.4,-102.2,0.0,top
J19,69.35,-123.7,0.0,top
J2,60.1,-99.45,90.0,top
J20,69.35,-122.2,0.0,top
J21,69.35,-120.7,0.0,top
J22,56.85,-123.7,180.0,top
J23,56.85,-122.23,180.0,top
J24,63.1,-99.45,270.0,top
J25,61.6,-99.45,270.0,top
J26,74.36,-117.63,270.0,top
J27,67.6,-99.45,90.0,top
J28,67.6,-123.5,270.0,top
J29,66.1,-123.5,270.0,top
J3,66.1,-99.45,270.0,top
J30,56.85,-120.7,180.0,top
J31,72.86,-117.63,270.0,top
J32,63.1,-120.91,90.0,top
J33,67.6,-120.9,90.0,top
J34,55.7,-93.95,90.0,top
J35,64.6,-123.5,270.0,top
J36,63.1,-123.5,270.0,top
J38,61.6,-123.5,270.0,top
J39,60.1,-123.5,90.0,top
J4,64.6,-99.45,270.0,top
J40,58.6,-123.5,90.0,top
J42,58.55,-101.95,90.0,top
J43,60.05,-101.95,90.0,top
J44,61.560442,-101.95,90.0,top
J45,51.1,-112.6,180.0,top
J46,51.1,-111.1,180.0,top
J47,51.1,-108.1,0.0,top
J48,51.1,-109.6,0.0,top
J49,64.6,-120.91,90.0,top
J5,51.1,-117.2,0.0,top
J50,66.1,-120.9,90.0,top
J51,60.3,-93.95,90.0,top
J52,61.8,-93.95,90.0,top
J53,64.560442,-101.95,270.0,top
J54,54.2,-93.95,90.0,top
J55,57.2,-93.95,90.0,top
J56,67.65,-101.95,270.0,top
J57,58.7,-93.95,90.0,top
J6,51.1,-118.7,0.0,top
J7,51.1,-115.7,180.0,top
J8,51.1,-114.2,180.0,top
J9,66.15,-101.95,270.0,top
L1,53.75,-108.275,90.0,top
L3,66.29,-122.625,0.0,bottom
L4,51.975,-106.1,0.0,bottom
L7,70.98,-107.1,270.0,bottom
OSC1,70.22,-114.33,90.0,top
P1,61.4,-101.4875,180.0,bottom
Q1,46.6875,-114.175,270.0,top
Q7,46.1875,-106.925,90.0,top
R1,70.5725,-114.6925,90.0,bottom
R10,67.45,-106.0,180.0,bottom
R11,66.3,-104.775,90.0,top
R12,46.5625,-115.25,0.0,top
R13,44.5725,-107.85,0.0,top
R14,64.7,-120.075,270.0,bottom
R15,47.1725,-112.975,0.0,top
R16,57.625,-106.18,270.0,bottom
R17,67.15,-104.775,270.0,top
R18,62.975,-105.95,0.0,bottom
R2,69.275,-99.12,180.0,bottom
R22,46.6125,-109.925,0.0,top
R27,68.81,-100.525,270.0,bottom
R28,66.1,-119.4,180.0,bottom
R29,46.9975,-111.425,0.0,top
R3,73.81,-106.18,270.0,bottom
R30,67.425,-104.425,0.0,bottom
R31,58.4,-106.175,270.0,bottom
R32,67.425,-103.675,0.0,bottom
R33,67.47625,-108.51625,0.0,bottom
R35,67.90125,-107.21625,90.0,bottom
R38,67.07625,-107.21625,270.0,bottom
R39,67.775,-107.3,0.0,top
R4,46.5625,-115.25,0.0,top
R40,53.435,-110.815,90.0,top
R42,64.61,-117.04,90.0,top
R43,63.785,-117.04,90.0,top
R46,59.085,-104.705,270.0,top
R47,60.57,-104.74,270.0,top
R48,55.9,-117.525,270.0,top
R49,56.8,-117.525,270.0,top
R5,44.5625,-106.91,0.0,top
R51,53.85,-114.225,0.0,top
R52,53.435,-112.625,270.0,top
R53,67.71,-110.865,0.0,bottom
R54,67.725,-109.25,180.0,top
R55,57.585,-104.715,90.0,top
R56,55.885,-106.065,270.0,top
R6,72.86,-106.18,270.0,bottom
R7,57.85,-113.525,180.0,bottom
R8,57.85,-112.725,0.0,bottom
R9,74.56,-107.53,0.0,bottom
RF1,73.0075,-106.28,270.0,top
U1,60.0,-121.2075,0.0,bottom
U10,67.575,-102.595,0.0,bottom
U12,73.6625,-115.2525,180.0,bottom
U13,60.825,-106.0125,90.0,bottom
U14,65.115,-117.065,180.0,bottom
U15,52.49685,-124.341851,65.0,top
U16,50.20315,-122.041851,115.0,top
U17,73.643149,-124.291851,205.0,top
U18,76.013149,-122.118149,155.0,top
U19,75.21,-114.83,270.0,top
U2,72.13,-110.855,0.0,bottom
U20,72.3275,-110.58,90.0,top
U21,60.615,-117.365,90.0,bottom
U22,73.731619,-98.46386,295.0,bottom
U23,76.058149,-100.803149,245.0,bottom
U24,52.436852,-98.495552,65.0,bottom
U25,50.10315,-100.758149,115.0,bottom
U26,52.49811,-124.338377,25.0,bottom
U27,50.203756,-122.038249,335.0,bottom
U28,73.641851,-124.296851,245.0,bottom
U29,76.01,-122.11,295.0,bottom
U3,73.733838,-98.468524,155.0,top
U30,64.86,-114.54,0.0,bottom
U33,57.7,-111.31,180.0,bottom
U35,69.45,-102.49,0.0,bottom
U36,61.575,-110.885,180.0,top
U37,65.2675,-105.6325,180.0,bottom
U38,65.25,-107.9,0.0,bottom
U39,69.885,-100.54,90.0,bottom
U4,76.058149,-100.803149,205.0,top
U41,55.11,-111.815,270.0,top
U42,67.55,-116.55,180.0,top
U5,52.441851,-98.49685,25.0,top
U6,69.7,-122.775,270.0,bottom
U7,55.375,-106.35,270.0,bottom
U8,50.10315,-100.758149,335.0,top
U9,61.36,-111.915,180.0,bottom
USB1,53.435,-113.8,90.0,bottom
X1,65.36,-110.415,0.0,bottom
